gene,0,12,24,48,72,Cluster
A17C_Medtr7g032900_rep1,25.31,66.29,19.07,20.52,21.18,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr4g056430_rep1,0.72,1.59,1.86,2.06,2.09,Mtr-Shoot-DTW015-DPGP001
A17C_Medtr3g467380_rep1,9.97,8.02,9.76,8.58,7.7,Mtr-Shoot-DTW018-DPGP001
A17C_Medtr4g007250_rep1,17.82,28.41,10.03,11.45,9.04,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr7g077340_rep1,2.65,2.68,0.95,0.36,0.11,Mtr-Shoot-DTW006-DPGP001
A17C_Medtr3g103610_rep1,3.79,7.89,5.44,3.6,3.92,Mtr-Shoot-DTW025-DPGP001
A17C_Medtr5g078300_rep1,2.85,8.72,3.27,4.45,5.11,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr3g449590_rep1,40.59,53.31,30.59,24.57,26.12,Mtr-Shoot-DTW006-DPGP001
A17C_Medtr8g099515_rep1,0.34,0.41,1.42,1.49,1.77,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr6g004880_rep1,9,1.03,10.93,8.46,10.52,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr1g037550_rep1,0.2,0.57,0.45,0.62,0.45,Mtr-Shoot-DTW015-DPGP001
A17C_Medtr5g029910_rep1,12.55,32.99,15.15,16.7,19.69,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr5g018540_rep1,0,0,0,0.63,0.54,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr2g096950_rep1,14.35,9.9,14.29,14.78,16.83,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr4g069770_rep1,22.2,16.68,16.27,19.8,31.3,Mtr-Shoot-DTW014-DPGP001
A17C_Medtr3g020680_rep1,147.41,183.63,130.03,142.94,150.84,Mtr-Shoot-DTW001-DPGP001
A17C_Medtr0275s0010_rep1,22.59,45.86,23.29,26.93,23.88,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr4g088535_rep1,0.95,2.73,1.39,1.58,1.9,Mtr-Shoot-DTW005-DPGP001
A17C_Medtr8g055880_rep1,6.09,4.56,9.85,8.36,9.04,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr3g033420_rep1,9.87,68.16,7.83,7.33,8.32,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr8g041410_rep1,28.3,29.74,39.7,43.2,43.18,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr4g065077_rep1,0.54,0.64,0.35,1.24,0.82,Mtr-Shoot-DTW026-DPGP002
A17C_Medtr5g053450_rep1,156.61,90.01,124.69,119.65,119.82,Mtr-Shoot-DTW004-DPGP001
A17C_Medtr1g090770_rep1,3.83,0.91,3.35,3.78,4.61,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr4g068670_rep1,17.26,22.23,14.28,10.06,12.27,Mtr-Shoot-DTW006-DPGP001
A17C_Medtr4g026430_rep1,0,0,0,0.8,1.01,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr0690s0010_rep1,0.54,0.86,1.07,2.31,2.02,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr8g079690_rep1,5.25,6.12,6.78,8.96,8.48,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr2g069320_rep1,0.56,0.89,0.67,0.84,1.65,Mtr-Shoot-DTW014-DPGP001
A17C_Medtr6g016260_rep1,0.13,0.03,0.08,0.03,0.37,Mtr-Shoot-DTW014-DPGP001
A17C_Medtr5g020020_rep1,13.19,60.89,22.18,20.55,19.57,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr7g091390_rep1,2.38,4.65,3.32,3.19,2.73,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr5g006180_rep1,24.38,8.53,38.81,36.3,33.94,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr2g019810_rep1,2.56,8.74,2.98,4.83,5.34,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr4g120050_rep1,4.07,8.21,4.51,4.8,6.6,Mtr-Shoot-DTW021-DPGP001
A17C_Medtr1g107535_rep1,10.06,15.48,9.05,18.84,24.07,Mtr-Shoot-DTW036-DPGP001
A17C_Medtr5g090620_rep1,1.57,1.23,4.47,7.16,6.83,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr3g112260_rep1,84.86,69.5,94.58,94.75,91.39,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr8g467050_rep1,6.89,9.93,7.05,6.85,6.19,Mtr-Shoot-DTW008-DPGP001
A17C_Medtr5g010010_rep1,37.57,28.21,36.64,39.58,39.32,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr7g088210_rep1,88.07,39.26,82.46,80.66,96.22,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr7g100328_rep1,50.98,43.78,61.56,62.57,60.97,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr1g026950_rep1,1,1.81,1.27,2.99,3.07,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr1g101540_rep1,24.29,9.4,16.38,16.49,16.07,Mtr-Shoot-DTW004-DPGP001
A17C_Medtr3g088415_rep1,4.71,10.57,3.51,7.34,10.06,Mtr-Shoot-DTW021-DPGP001
A17C_Medtr3g114080_rep1,48.29,35.83,45.97,47.02,41.21,Mtr-Shoot-DTW030-DPGP001
A17C_Medtr1g085680_rep1,9.7,6.76,30.27,48.19,51.99,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr5g034320_rep1,51.74,85.42,37.84,39.64,33.4,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr4g008170_rep1,11.69,9.46,10.45,12.99,11.79,Mtr-Shoot-DTW040-DPGP001
A17C_Medtr8g099900_rep1,3.63,12.53,6.63,6.94,4.97,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr2g017520_rep1,355.42,208.5,249.47,248.18,273.71,Mtr-Shoot-DTW011-DPGP001
A17C_Medtr7g024860_rep1,0.25,5.56,0.27,0.11,0.04,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr1g090693_rep1,3.55,20.46,4.44,3.91,3.17,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr5g004860_rep1,0.06,0,0.03,0.14,0.11,Mtr-Shoot-DTW037-DPGP001
A17C_Medtr3g053170_rep1,25.62,23.67,28.8,30.74,28.03,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr2g087880_rep1,3.64,6.47,4.26,5.16,3.89,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr1g115890_rep1,0.04,0.93,0.4,0,0,Mtr-Shoot-DTW025-DPGP001
A17C_Medtr5g010140_rep1,12.55,8.48,12.5,14.55,14.33,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr4g094010_rep1,0.39,0.2,0.19,0.49,0.56,Mtr-Shoot-DTW016-DPGP001
A17C_Medtr3g117220_rep1,7.86,10.69,9.6,9.2,7.44,Mtr-Shoot-DTW025-DPGP001
A17C_Medtr8g018270_rep1,0.4,0.54,0.5,1.26,0.82,Mtr-Shoot-DTW022-DPGP001
A17C_Medtr6g016245_rep1,1.11,3.07,1.23,2.23,1.66,Mtr-Shoot-DTW020-DPGP001
A17C_Medtr2g090270_rep1,1.37,10.24,1.36,1.41,2.58,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr3g437580_rep1,1.86,4,2.28,2.74,3.04,Mtr-Shoot-DTW021-DPGP001
A17C_Medtr1g094185_rep1,6.82,4.86,6.46,7.12,6.91,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr3g111630_rep1,14.79,19.22,14.97,14.74,13.49,Mtr-Shoot-DTW008-DPGP001
A17C_Medtr5g081560_rep1,3.59,9.31,2.75,3.62,3.96,Mtr-Shoot-DTW001-DPGP001
A17C_Medtr8g085650_rep1,42.36,36.13,13.41,18.63,17.87,Mtr-Shoot-DTW034-DPGP001
A17C_Medtr3g094020_rep1,13.12,12.03,11.92,9.92,9.94,Mtr-Shoot-DTW044-DPGP001
A17C_Medtr8g101470_rep1,10.26,31.65,12.7,12.74,12.61,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr7g067450_rep1,26.85,58.36,36.43,33.31,33.79,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr8g030600_rep1,5.36,22.12,5.52,4.97,6.62,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr4g073650_rep1,9.86,20.36,9.41,11.72,10.42,Mtr-Shoot-DTW001-DPGP001
A17C_Medtr3g465880_rep1,6.96,4.76,9.53,7.42,8.51,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr3g113030_rep1,45.16,22.51,29.79,33.63,28.08,Mtr-Shoot-DTW004-DPGP001
A17C_Medtr4g083000_rep1,11.76,11.46,12.72,16.14,17.32,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr7g110640_rep1,10.86,9.05,13.57,11.5,11.62,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr6g035265_rep1,5.31,5.04,4.27,3.92,3.27,Mtr-Shoot-DTW034-DPGP001
A17C_Medtr6g053680_rep1,1.46,4.48,1.59,2.76,3.6,Mtr-Shoot-DTW021-DPGP001
A17C_Medtr2g026590_rep1,1.71,10.98,4.59,3.53,3.84,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr3g013460_rep1,288.54,153.11,253.45,221,257.81,Mtr-Shoot-DTW028-DPGP001
A17C_Medtr3g465510_rep1,10.45,5.89,11.18,10.27,11.03,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr2g025140_rep1,4.52,19.62,8.19,9.77,9.04,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr4g478260_rep1,0.41,2.66,1.53,0.93,0.54,Mtr-Shoot-DTW025-DPGP001
A17C_Medtr2g035250_rep1,1.17,7.18,0.51,0.96,1.05,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr1g046500_rep1,0.79,0.05,1.93,0.91,0.68,Mtr-Shoot-DTW023-DPGP001
A17C_Medtr7g093490_rep1,18.1,122.82,9.21,6.76,7.94,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr4g094662_rep1,580.52,467.17,524.05,500,558.8,Mtr-Shoot-DTW011-DPGP001
A17C_Medtr5g031840_rep1,6.47,10.15,5.48,4.51,5.25,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr7g021190_rep1,18.43,14.62,18.78,21.07,18.79,Mtr-Shoot-DTW040-DPGP001
A17C_Medtr5g007230_rep1,14.37,1.52,15.6,16.92,16.69,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr8g009640_rep1,4.18,4.4,6.86,8.47,9.06,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr6g013990_rep1,16.48,20.16,20.5,14.81,16.39,Mtr-Shoot-DTW027-DPGP001
A17C_Medtr4g021330_rep1,2.26,6.23,5.75,5.38,4.16,Mtr-Shoot-DTW025-DPGP001
A17C_Medtr1g079525_rep1,20.87,37.3,23.08,22.74,20.49,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr3g117420_rep1,28.06,46.21,43.49,61.65,63.12,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr5g042370_rep1,0.54,1.12,0.54,0.95,0.69,Mtr-Shoot-DTW020-DPGP001
A17C_Medtr3g091860_rep1,5.87,6.91,8.63,8.56,9.03,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr8g023770_rep1,3.84,3.21,4.01,6.38,7.98,Mtr-Shoot-DTW009-DPGP001
A17C_Medtr7g047270_rep1,9.21,1.16,11.59,11.13,10.45,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr2g084195_rep1,0.08,0,0,1.02,1.21,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr2g061230_rep1,2.66,4.83,3.47,4.11,2.79,Mtr-Shoot-DTW025-DPGP001
A17C_Medtr8g094800_rep1,82.29,34.17,68.05,65.8,65.25,Mtr-Shoot-DTW028-DPGP001
A17C_Medtr8g080080_rep1,22.24,44.79,22.57,21.89,24.26,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr3g110198_rep1,11.55,22.95,14.27,14.76,13.32,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr6g033320_rep1,3637.98,673.65,3486.5,3518.2,3185.43,Mtr-Shoot-DTW028-DPGP001
A17C_Medtr6g055030_rep1,12.09,29.92,20.78,16.95,17.65,Mtr-Shoot-DTW025-DPGP001
A17C_Medtr1g067110_rep1,52.67,130.22,60.41,74.71,56.61,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr1g083290_rep1,1.09,0.36,0.69,1.98,3.61,Mtr-Shoot-DTW009-DPGP001
A17C_Medtr1g107175_rep1,11.65,10.99,11.97,12.33,14.94,Mtr-Shoot-DTW014-DPGP001
A17C_Medtr5g040360_rep1,8.56,11.46,8.54,8.47,8.1,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr5g086540_rep1,3.36,0.27,2.44,3.9,4.22,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr7g081060_rep1,0.64,0,0.87,0.8,0.9,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr4g026080_rep1,0.3,0,0,0,0.52,Mtr-Shoot-DTW033-DPGP001
A17C_Medtr4g098570_rep1,1.72,4.32,1.86,1.18,1.68,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr3g070490_rep1,9.41,836.57,11.67,10.69,13.7,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr3g073560_rep1,40.67,19.86,37.74,37.45,44.62,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr4g115730_rep1,22.78,20.41,25.58,23.06,18.28,Mtr-Shoot-DTW027-DPGP002
A17C_Medtr3g098910_rep1,212.34,6.29,128.05,120.38,99.9,Mtr-Shoot-DTW004-DPGP001
A17C_Medtr8g069315_rep1,8.28,5.8,8.73,15.22,21.48,Mtr-Shoot-DTW009-DPGP001
A17C_Medtr1g078210_rep1,21.56,14.56,25.85,25.75,25.64,Mtr-Shoot-DTW039-DPGP001
A17C_Medtr8g064560_rep1,52.4,68.83,31.32,33.48,33.55,Mtr-Shoot-DTW043-DPGP001
A17C_Medtr8g070490_rep1,17.36,14.84,17.88,18.8,18.18,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr4g113750_rep1,7.54,4.73,5.63,4.84,4.9,Mtr-Shoot-DTW031-DPGP001
A17C_Medtr2g084000_rep1,2.45,7.18,2.31,3,2.35,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr2g093840_rep1,42.36,4.08,38.59,67.19,53.93,Mtr-Shoot-DTW040-DPGP001
A17C_Medtr8g074030_rep1,25.48,20.52,28.82,27.05,23.64,Mtr-Shoot-DTW023-DPGP001
A17C_Medtr2g026930_rep1,0.59,0.75,0.69,1.15,1.69,Mtr-Shoot-DTW009-DPGP001
A17C_Medtr5g074640_rep1,1.29,5.13,2.39,2.31,2.37,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr3g114840_rep1,3.77,1.76,4.01,3.8,2.36,Mtr-Shoot-DTW030-DPGP001
A17C_Medtr3g077280_rep1,37.16,1.4,74.27,60.09,42.2,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr6g033330_rep1,3.83,1.98,2.51,4.04,4.03,Mtr-Shoot-DTW016-DPGP001
A17C_Medtr4g071420_rep1,6.77,12.85,6.39,6.4,5.25,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr5g054910_rep1,32.17,35.63,29.03,27.81,29.84,Mtr-Shoot-DTW043-DPGP001
A17C_Medtr2g026060_rep1,26.7,54.15,31.17,31.65,31.33,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr7g071760_rep1,15.64,9.61,35.8,16.27,18.7,Mtr-Shoot-DTW041-DPGP002
A17C_Medtr6g015510_rep1,0.58,0.84,0.87,1.67,1.48,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr5g014330_rep1,53.23,51.41,59.61,61.97,58.05,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr7g079310_rep1,7.59,5.93,7.74,8.09,8.07,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr3g098740_rep1,10.44,2.98,7.03,7.47,6.84,Mtr-Shoot-DTW004-DPGP001
A17C_Medtr8g470370_rep1,0.15,0.33,0.37,1.3,1.19,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr3g078300_rep1,4.49,13.41,6.01,5.81,6.04,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr1g016780_rep1,82.4,210,101.49,108.73,132.83,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr4g106970_rep1,32.45,51.33,22.35,23.65,25.12,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr8g080380_rep1,8.77,6.19,7.88,9.02,8.9,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr4g094625_rep1,31.32,99.18,39.93,46.44,47.34,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr3g091060_rep1,35.81,51.57,40.2,36.72,40.19,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr2g101310_rep1,0.83,1.01,0.88,1.5,1.58,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr8g095080_rep1,2.22,1.99,2.79,3.52,3.98,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr1g099040_rep1,1.97,2.2,3.07,3.65,4.76,Mtr-Shoot-DTW009-DPGP001
A17C_Medtr1g033480_rep1,14.2,21.98,15.48,14.44,15.15,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr7g010150_rep1,106.81,116.22,131.32,153.12,173.63,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr3g101777_rep1,8.25,2.94,19.5,18.61,24.62,Mtr-Shoot-DTW039-DPGP001
A17C_Medtr1g105750_rep1,1.18,0.81,1.69,2.06,2.56,Mtr-Shoot-DTW007-DPGP001
A17C_Medtr6g023320_rep1,21.28,62.2,22.72,22.56,19.43,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr7g099280_rep1,13.53,17.47,15.1,11.71,13.07,Mtr-Shoot-DTW027-DPGP001
A17C_Medtr0405s0060_rep1,1.46,3.47,1.11,1.68,1.02,Mtr-Shoot-DTW001-DPGP001
A17C_Medtr3g052760_rep1,348.44,9.01,669.05,667.19,651.04,Mtr-Shoot-DTW039-DPGP001
A17C_Medtr1g105640_rep1,0.64,6.23,1.14,1.48,1.05,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr6g007165_rep1,12.05,10.24,12.89,12.5,15.17,Mtr-Shoot-DTW007-DPGP001
A17C_Medtr1g037460_rep1,3.16,5.39,3.2,3.42,2.77,Mtr-Shoot-DTW008-DPGP001
A17C_Medtr8g104655_rep1,1.48,0,2.34,2.03,5.8,Mtr-Shoot-DTW007-DPGP001
A17C_Medtr3g091090_rep1,18.32,17.03,19.56,23.04,22.56,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr4g063905_rep1,6.38,5.16,7.26,7.76,7.89,Mtr-Shoot-DTW039-DPGP001
A17C_Medtr3g062440_rep1,7.47,8.4,7.51,11.3,12.25,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr2g014470_rep1,11.36,3.95,20.57,14.61,19.75,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr8g465580_rep1,17.32,9.9,15.36,16.61,15.99,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr5g046750_rep1,13.84,3.26,9.51,10.82,11.86,Mtr-Shoot-DTW011-DPGP001
A17C_Medtr1g070140_rep1,0.44,1.47,0.44,0.88,0.76,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr1g095070_rep1,321.56,127.54,320.36,244.37,274.43,Mtr-Shoot-DTW028-DPGP001
A17C_Medtr4g092840_rep1,16.83,25.29,13.06,16.82,13.77,Mtr-Shoot-DTW001-DPGP001
A17C_Medtr8g030860_rep1,10.01,24.29,9.31,11.87,9.44,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr1g107295_rep1,2.36,1.41,2.21,1.94,1.96,Mtr-Shoot-DTW028-DPGP001
A17C_Medtr5g027860_rep1,0.21,0.12,0.14,0.35,0.3,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr6g051690_rep1,1.17,7.07,0.83,1.13,1.97,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr1g064240_rep1,2.23,1.72,2.49,3.75,2.98,Mtr-Shoot-DTW022-DPGP001
A17C_Medtr3g005660_rep1,13.6,36.19,14.95,11.94,4.9,Mtr-Shoot-DTW008-DPGP001
A17C_Medtr2g018630_rep1,117.64,109.72,105.61,93.81,97.53,Mtr-Shoot-DTW034-DPGP001
A17C_Medtr3g100120_rep1,19.15,20.65,25.01,25.73,5.68,Mtr-Shoot-DTW027-DPGP002
A17C_Medtr3g462150_rep1,4.22,9.1,4.7,6.38,5.08,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr2g451540_rep1,8.34,12.4,8.53,8.23,8.75,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr2g058520_rep1,1.03,1.75,0.49,0.32,0.73,Mtr-Shoot-DTW043-DPGP001
A17C_Medtr2g009310_rep1,7.66,6.93,11.25,12.36,12.48,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr5g081705_rep1,99.23,83.73,104.55,116.4,122.11,Mtr-Shoot-DTW037-DPGP002
A17C_Medtr0151s0030_rep1,22.52,19.59,20.23,19.6,16.57,Mtr-Shoot-DTW034-DPGP001
A17C_Medtr2g098340_rep1,3.18,5.7,5.64,8.18,8.16,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr4g029600_rep1,134.1,98.46,122.81,164.41,210.92,Mtr-Shoot-DTW009-DPGP001
A17C_Medtr6g024135_rep1,46.18,45.17,54.88,57.74,53.98,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr8g020940_rep1,9.98,31.34,50.66,58.36,58.72,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr3g105605_rep1,2.53,9.05,2.45,5.3,3.56,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr3g008470_rep1,7.12,2.4,14.68,13.03,12.2,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr7g100110_rep1,46.67,31.28,54.77,51.94,45.27,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr4g029730_rep1,1.41,248.31,1.74,10.22,6.22,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr1g087030_rep1,130.33,733.45,74.9,59.71,62.56,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr2g015790_rep1,116.72,180.66,142.53,155.85,138.77,Mtr-Shoot-DTW005-DPGP001
A17C_Medtr8g009960_rep1,47.22,36.82,45.59,51.9,47.69,Mtr-Shoot-DTW040-DPGP001
A17C_Medtr4g115090_rep1,24.1,19.51,26.72,24.99,27.37,Mtr-Shoot-DTW039-DPGP001
A17C_Medtr5g006740_rep1,84.98,137.37,77.05,76.64,77.89,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr8g070540_rep1,8.22,14.81,6.1,4.56,6.9,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr7g101870_rep1,23.69,59.94,36.64,36,35.56,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr7g096520_rep1,8.3,10.62,8.2,8.78,7.43,Mtr-Shoot-DTW008-DPGP001
A17C_Medtr7g063030_rep1,0.43,0.44,1.03,2.27,2.37,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr1g088700_rep1,18.21,9.46,25.26,25.08,28.4,Mtr-Shoot-DTW039-DPGP001
A17C_Medtr1g015165_rep1,26.38,3.49,55.07,45.95,57.21,Mtr-Shoot-DTW039-DPGP001
A17C_Medtr4g006730_rep1,14.49,15.56,31.46,43.4,40.64,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr8g469540_rep1,4.81,5.55,6.57,6.76,5.92,Mtr-Shoot-DTW010-DPGP001
A17C_Medtr2g006870_rep1,38.53,37.61,38.13,46.86,48.04,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr8g099160_rep1,7.83,21.05,8.24,8.32,10.59,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr3g064600_rep1,1.87,5.38,2.28,3.95,2.14,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr1g062880_rep1,0.53,0.37,0.2,1.21,1.16,Mtr-Shoot-DTW002-DPGP001
A17C_Medtr2g104640_rep1,3.18,5.59,3.12,3.6,3.6,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr8g059345_rep1,4.13,10.95,5.02,6.79,6.25,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr4g091900_rep1,68.96,66.43,83.19,74.73,70.01,Mtr-Shoot-DTW025-DPGP002
A17C_Medtr5g033590_rep1,39.56,6.38,31.84,29.69,34.62,Mtr-Shoot-DTW028-DPGP001
A17C_Medtr4g073770_rep1,4.22,8.83,3.78,5.65,5.3,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr5g025370_rep1,8.18,17.64,8.88,6.95,7.16,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr8g022210_rep1,13.54,16.65,17.23,21.25,22.09,Mtr-Shoot-DTW029-DPGP001
